Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m42,m43,m44,m46
1993-01-01,0.01,-5.6,3.39,0.17,0.0,7.72847745548383e-09,0.0,0.05934742034277599,0.596764780059535,6.48548484800213e-28,9.402356246574909,-1.1425120996254899e-23,0.0,4.77739437633099e-06,8.056866363099191e-05,1.0428006016598198e-33,0.0195268611276346,0.0017050212592268198,0.000307368917030306,0.544582364490444,0.0,1.97071947107732e-06,0.0,0.0,0.238673697764247,2.2198230327770697e-38,0.310877567859816,0.34463220713069104,-0.0,0.130154149383249,4.94934733677497e-07,0.00433979406169888,0.0243792988140487,1.53371796407538e-09,0.0204740894756623,1.04641632972535e-05,0.00277805557203131,0.0676171580871968,0.0132941264767941,0.8380275692359259,9.33087910387724e-11,6.14443357764203e-18,-0.8060539286286579,0.0,0.0081971481636225,0.0077325454934850405,0.21788331666703797
1993-01-02,8.5,-5.47,2.13,0.17,0.0,2.1088249003150503,0.0,4.2008066764628,0.5838153640580911,2.86731320644996e-28,9.40210250959653,3.96317580185682e-14,0.0,4.75771645220884e-06,8.013691780709159e-05,4.86489866198624e-34,0.019978183286976002,1.3548741166273002,0.0898607525229087,0.528209129874132,0.0,0.356621017421793,0.0,0.0,0.566342529285327,0.572850019709576,0.32630702645418397,0.9421262036975121,-0.0,0.30058041568884697,1.22092363287509e-05,3.68882367155666,0.11568016066668302,1.0409436687268199e-09,0.0180752760068147,8.080352827638361e-06,2.03613880482795,0.0665272092043228,0.0124878972549302,0.8465859314069558,8.07096349981882e-11,-2.34430822240722e-15,-0.7671402525424641,0.7665259590615501,0.00715266065133337,0.146667595172888,0.379437465722224
1993-01-03,1.47,-15.67,1.41,0.17,0.0,0.6436748670584979,0.0,2.85738535865233,0.5726579424144781,1.2676746945781597e-28,9.40206103772984,-6.35067583012771e-15,0.0,4.74305733109742e-06,7.97088688019111e-05,2.2695843245319e-34,0.020329692967271,0.23440445665198398,0.0646292350726841,0.5132303118225461,0.0,0.0366270407272399,0.0,0.0,0.5937290672503729,0.0384799225174684,0.34083673769434497,1.46487989187695,-0.0,0.758192971963067,3.55065446836609e-05,0.637949506799328,0.102008210134339,1.11450264725708e-09,0.0159573206475387,6.24387874117633e-06,0.352262228195451,0.0654693948418611,0.0117286773744878,1.07843375778951,3.39248442934241e-11,1.11742164707384e-16,-0.73562799971675,0.524143564114105,0.00625959948048772,0.26758206365029,0.365527280518509
1993-01-04,0.0,-15.58,3.03,0.16,0.0,0.218125230347523,0.0,1.4516003705854699,0.5572080218829929,1.2676746945781597e-28,9.40230024247738,-1.83238316464076e-15,0.0,4.71741345080393e-06,7.92844766385032e-05,2.2695843245319e-34,0.0207025609780143,0.00011115738576459299,0.0420761457426775,0.49965982808604503,0.0,0.016755632919418003,0.0,0.0,0.53979647208425,5.770043901095829e-38,0.350695921228517,1.6435483674578701,-0.0,0.6728778298884539,5.7432583854199405e-05,1.50866214550949e-09,0.0826609563357657,2.46543653172963e-10,0.0140873910306306,4.82446387978151e-06,7.377037246557209e-05,0.0644408533557463,0.0110139062699623,0.9944026818961659,-5.197476475367481e-12,3.5095495215957e-15,-0.709115269183329,0.0,0.00549119122953285,0.298142046183349,0.327281771597971
1993-01-05,0.0,-12.21,3.2,0.17,0.0,0.07391715685838,0.0,0.737373801209528,0.6153355059023691,-3.3196381729365e-29,9.40264116981752,-5.28704054792131e-16,0.0,4.69077351914819e-06,7.88636901185629e-05,-3.25730012922447e-35,0.0210493109338703,0.00011115129481243501,0.0274574113551565,0.48696840359439203,0.0,0.00935762890542531,0.0,0.0,0.49680944081910206,6.892194786257471e-38,0.356517462127053,1.55518273207615,-0.0,0.48954250210963796,3.41639591609229e-05,1.5086589720440198e-09,0.072431247328699,4.866123893941851e-10,0.0124364820904761,3.72734917325796e-06,0.000134482845085808,0.0634398149774753,0.0103411439079997,0.9176060190990191,-3.24592788250807e-11,2.1750829345493e-15,-0.6860584406915191,0.0,0.00482676017178229,0.27139661811231097,0.298689186063265
1993-01-06,4.73,-6.72,1.15,0.18,0.0,0.799167370396029,0.0,2.69695819276939,0.771311022599338,3.84331839801384e-30,9.40332591569522,2.1190146802422902e-14,0.0,4.67811626194145e-06,7.844646745338969e-05,2.18093014244081e-36,0.0193097815373329,0.7539839486683559,0.0574787274257667,0.474999051878434,0.0,0.1638327297079,0.0,0.0,0.6570523197712801,0.28383486485959897,0.3695434365697079,1.7103373628274599,-0.0,0.447091809609409,5.15666940802661e-05,2.05272187907652,0.12235418128706099,2.70632997795353e-10,0.0109789712928624,2.8814495011841597e-06,1.13302121325126,0.062463486431088,0.00970806762342953,0.8835373366597891,-5.01395907507335e-11,8.35910166781356e-16,-0.6524554624005401,0.618992042903957,0.0042500779794298,0.242409154504832,0.37141020129717606
1993-01-07,9.65,-2.04,0.86,0.18,0.0,3.72872503179848,0.0,6.10959211543038,0.8321860609484429,1.69917868247151e-30,9.40457270753057,5.47040597357039e-16,0.0,4.667454719055169e-06,7.8032775206672e-05,1.01745282031463e-36,0.0169457680626686,1.53813256890267,0.196694528096684,0.4643944671547329,0.0,0.652886707859779,0.0,0.0,1.01557284863781,1.9072336389657598,0.412962604168556,2.485634970586,-0.0,0.863747729755975,9.11846006970622e-05,4.18789981515133,0.234022783516553,1.7634108923832799e-10,0.00969222294760511,2.22862005757702e-06,2.3114240855565398,0.0615099190733618,0.00911243624106014,0.9993141511885061,-6.12245955451666e-11,-6.41307019426246e-12,-0.569167705342348,2.86510675882873,5.591529109810719,0.665211111379754,0.527325986609985
1993-01-08,10.3,-2.72,1.05,0.17,0.0,5.370145868941621,0.0,8.16353438225169,0.826161643171234,7.51227948342159e-31,9.40692368310064,1.2891209645620198e-15,0.0,4.65554649622326e-06,7.76225652852631e-05,4.74664557759577e-37,0.0176444977584906,1.6417228232434198,0.361296030661308,0.45619554986777605,0.0,0.7703612392352299,0.0,0.0,1.3839053734441298,2.48909305487221,0.49427726334493505,3.6875386058143698,-0.0,1.84507843896142,0.000167846841400713,4.46998633109617,0.3460884498050071,1.4102517255061198e-10,0.008556244879122809,1.72415645150429e-06,2.46709689671407,0.0605799381680336,0.00855215440806727,1.24240009631454,-6.805751863194139e-11,5.59163962501183e-12,-0.45694248448934494,4.68849482098729,3.47498282812926,1.09036496727124,0.664846999218933
1993-01-09,2.1,-5.77,1.76,0.16,0.0,1.59664106006561,0.0,5.18048880339203,0.8163240315555501,3.3212718367529993e-31,9.41107647408568,-3.5430926548804e-15,0.0,4.63891900942951e-06,7.721580152759671e-05,2.21441660875659e-37,0.0178793516173065,0.334807221202808,0.334842870013644,0.45076675196132004,0.0,0.127818953980754,0.0,0.0,1.3748037253215302,0.157410626460383,0.568749191903174,4.35034592210043,-0.0,2.40511092496591,0.000276268112966599,0.911356437638112,0.306619721939472,9.98764113045385e-11,0.00755338146806862,1.33380957035837e-06,0.502992854366063,0.05967483355285701,0.00802525500744408,1.40214042998876,-9.094762741222241e-11,2.1249162139801e-11,-0.38489489330502,2.53072120968941,2.1648077586447503,1.3972172326272898,0.61349655258646
1993-01-10,6.74,-4.48,1.33,0.17,0.0,2.37574618474847,0.0,5.94248265758989,0.796455053375734,1.4683754295819302e-31,9.417624450972179,-1.36733888158441e-14,0.0,4.62523058980479e-06,7.68124430746717e-05,1.0330750078080998e-37,0.0184629560670076,1.0743215993754,0.42079894926343103,0.448730928760647,0.0,0.47580258990123203,0.0,0.0,1.5123859781589999,1.6146227820311698,0.658481812043435,4.84066346506505,-0.0,2.09313102751217,0.000416080638951829,2.925020182229,0.378179872812864,7.01019305620119e-11,0.0066680421325023605,1.0319440465862302e-06,1.61422629033984,0.0587935036268882,0.0075298394265399205,1.20221697175942,-1.3276174043081002e-10,1.39490978987415e-11,-0.302848849524534,3.10285174718162,1.35205860465009,1.6031369074966002,0.67173597565191
