File_num,Region,grdc_no,river,station
1,Hokkaido,2587080.000000000000000,TESHIO GAWA,MARUYAMA
2,Hokkaido,2587081.000000000000000,TESHIO GAWA,PONPIRA
3,Hokkaido,2587082.000000000000000,TESHIO GAWA,BIFUKA-BASHI
4,Hokkaido,2587083.000000000000000,TESHIO GAWA,NAYORO-OHASHI
5,Hokkaido,2587100.000000000000000,ISHIKARI-GAWA,ISHIKARI-OHASHI
6,Hokkaido,2587101.000000000000000,ISHIKARI-GAWA,TSUKIGATA
7,Hokkaido,2587102.000000000000000,ISHIKARI-GAWA,HASHIMOTOCHO
8,Hokkaido,2587103.000000000000000,ISHIKARI-GAWA,OSAMUNAI
9,Hokkaido,2587104.000000000000000,ISHIKARI-GAWA,INO
10,Hokkaido,2587105.000000000000000,SORACHI-GAWA,AKABIRA
11,Hokkaido,2587106.000000000000000,YUBARI-GAWA,KIYOHORO-BASHI
12,Hokkaido,2587200.000000000000000,SHIRIBETSU-GAWA,NAKOMA
13,Hokkaido,2587210.000000000000000,MU KAWA,MUKAWA
14,Hokkaido,2587220.000000000000000,SARU GAWA,BIRATORI
15,Hokkaido,2587230.000000000000000,ABASHIRI GAWA,HONGO
16,Hokkaido,2587240.000000000000000,TOKORO GAWA,KITAMI
17,Hokkaido,2587250.000000000000000,YUBETSU GAWA,KAISEI
18,Hokkaido,2587400.000000000000000,TOKACHI GAWA,MOIWA
19,Hokkaido,2587401.000000000000000,TOKACHI GAWA,OBIHIRO
20,Hokkaido,2587402.000000000000000,TOKACHI GAWA,KYOEI-BASHI
21,Hokkaido,2587403.000000000000000,TOSHIBETSU GAWA,TOSHIBETSU
22,Kinki,2588250.000000000000000,KUMANO-GAWA,OGA
23,S_Chubu,2588301.000000000000000,KISO-GAWA,INUYAMA
24,S_Chubu,2588302.000000000000000,IBI-GAWA,MANGOKU
25,S_Chubu,2588303.000000000000000,NAGARA-GAWA,CHUSETSU
26,S_Chubu,2588304.000000000000000,NAGARA-GAWA,SUNOMATA
27,S_Chubu,2588320.000000000000000,TENRYU-GAWA,KASHIMA
28,S_Chubu,2588321.000000000000000,TENRYU-GAWA,INA
29,S_Chubu,2588322.000000000000000,TENRYU-GAWA,MIYAGASE
30,S_Chubu,2588480.000000000000000,FUJI KAWA,KITAMATSUNO
31,S_Chubu,2588481.000000000000000,FUJI KAWA,SHIMIZUBATA
32,S_Chubu,2588482.000000000000000,FUJI KAWA,FUNAYAMA-BASHI
33,S_Chubu,2588483.000000000000000,FUEFUKI-GAWA,TORINKYO
34,Kanto,2588500.000000000000000,ARA KAWA,OASHI-BASHI
35,Kanto,2588501.000000000000000,ARA KAWA,YORII
36,Kanto,2588550.000000000000000,TONE-GAWA,KURIHASHI
37,Kanto,2588551.000000000000000,TONE-GAWA,FUKAWA (TONE NORTH BRANCH)
38,Kanto,2588552.000000000000000,TONE-GAWA,KAWAMATA
39,Kanto,2588553.000000000000000,TONE-GAWA,FUTTO
40,Kanto,2588554.000000000000000,TONE-GAWA,YATTAJIMA
41,Kanto,2588555.000000000000000,TONE-GAWA,IWAMOTO
42,Kanto,2588558.000000000000000,OMOI-GAWA,OTOME
43,Kanto,2588559.000000000000000,WATARASE-GAWA,FUJIOKA
44,Kanto,2588560.000000000000000,KARASU GAWA,IWAHANA
45,Kanto,2588561.000000000000000,AGATSUMA GAWA,MURAKAMI
46,N_Tohoku,2588600.000000000000000,MABECHI-GAWA,KEN-YOSHI
47,S_Tohoku,2588610.000000000000000,NARUSE GAWA,NODA-BASHI
48,S_Tohoku,2588620.000000000000000,NATORI GAWA,NATORI-BASHI
49,Kanto,2588630.000000000000000,TAMA GAWA,ISHIHARA
50,Kanto,2588640.000000000000000,KUJI-GAWA,SAKAKI-BASHI
51,S_Tohoku,2588650.000000000000000,ABUKUMA GAWA,IWANUMA
52,S_Tohoku,2588652.000000000000000,ABUKUMA GAWA,FUSHIGURO
53,S_Tohoku,2588653.000000000000000,ABUKUMA GAWA,MOTOMIYA
54,S_Tohoku,2588654.000000000000000,ABUKUMA GAWA,SUKAGAWA
55,S_Tohoku,2588655.000000000000000,SHIROISHI GAWA,FUNAOKA-OHASHI
56,N_Tohoku,2588700.000000000000000,KITAKAMI GAWA,TOME
57,N_Tohoku,2588701.000000000000000,KITAKAMI GAWA,OIZUMI
58,N_Tohoku,2588702.000000000000000,KITAKAMI GAWA,KOZENJI
59,N_Tohoku,2588703.000000000000000,KITAKAMI GAWA,SAKURAGI-BASHI
60,N_Tohoku,2588704.000000000000000,KITAKAMI GAWA,OTOKOYAMA
61,N_Tohoku,2588705.000000000000000,KITAKAMI GAWA,ASAHI-BASHI
62,N_Tohoku,2588706.000000000000000,KITAKAMI GAWA,FUNADA-BASHI
63,N_Tohoku,2588707.000000000000000,SARUGAISHI GAWA,YASUNO
64,N_Tohoku,2588708.000000000000000,HONNAI GAWA,HIROOMOTE
65,S_Tohoku,2588709.000000000000000,EAI GAWA,ARAO
66,S_Chubu,2588800.000000000000000,KANO GAWA,TOKURA
67,S_Chubu,2588900.000000000000000,ABE KAWA,TEGOSHI
68,S_Chubu,2588910.000000000000000,OI GAWA,KANZA
69,Kinki,2588920.000000000000000,MIYA-KAWA,IWADE
70,Chugoku,2589100.000000000000000,YOSHII GAWA,TSUSE
71,Chugoku,2589101.000000000000000,YOSHII GAWA,MIYASU
72,Chugoku,2589200.000000000000000,GONO KAWA,KAWAHIRA
73,Chugoku,2589201.000000000000000,GONO KAWA,TSUGA
74,Chugoku,2589202.000000000000000,GONO KAWA,OZEKIYAMA
75,N_Chubu,2589210.000000000000000,HIME-KAWA,YAMAMOTO
76,N_Chubu,2589220.000000000000000,KUROBE GAWA,UNAZUKI
77,N_Chubu,2589230.000000000000000,SHO GAWA,DAIMON
78,N_Chubu,2589240.000000000000000,ARA KAWA,TSUZURAYAMA
79,N_Chubu,2589250.000000000000000,SEKI-GAWA,TAKADA
80,Chugoku,2589300.000000000000000,ASHIDA GAWA,YAMATE
81,Chugoku,2589320.000000000000000,ASAHI GAWA,MAKIYAMA
82,Kinki,2589350.000000000000000,KINO KAWA,FUNATO
83,Kinki,2589351.000000000000000,KINO KAWA,MITANI
84,Kinki,2589360.000000000000000,YAMATO GAWA,KASHIWARA
85,Kinki,2589370.000000000000000,KAKO GAWA,KUNIKANE
86,Kinki,2589380.000000000000000,IBO GAWA,KAMIGAWARA
87,N_Chubu,2589390.000000000000000,KUZURYU GAWA,NAKATSUNO
88,N_Chubu,2589400.000000000000000,JINZU GAWA,JINTSU-OHASHI
89,Kinki,2589410.000000000000000,YURA-GAWA,FUKUCHIYAMA
90,Kinki,2589420.000000000000000,MARUYAMA-GAWA,FUICHIBA
91,N_Chubu,2589500.000000000000000,SHINANO GAWA,OJIYA
92,N_Chubu,2589501.000000000000000,SHINANO GAWA,IWASAWA
93,N_Chubu,2589502.000000000000000,SHINANO GAWA,TATEGAHANA
94,N_Chubu,2589503.000000000000000,SHINANO GAWA,KUISEGE
95,S_Chubu,2589504.000000000000000,SHINANO GAWA,IKUTA
96,N_Chubu,2589505.000000000000000,UONO GAWA,HORINOUCHI
97,N_Chubu,2589506.000000000000000,SAI GAWA,KOICHI
98,N_Chubu,2589550.000000000000000,AGANO GAWA,MAOROSHI
