File_num,Region,Region1,grdc_no,river,station,area,lat_org,long_org,lat_pp,long_pp,dist_km,ElevMean,SlopeMean,RiverSlopeMean,WaterArea,ForestArea,ForestAreaRatio,WaterAreaRatio,AridityIndex,MeanPrecip,MeanTemp,MeanPET,MnMaxPrecip,MnMaxTemp,MnMaxPET,MnMinPrecip,MnMinTemp,MnMinPET,MediPrecip,MediTemp,MediPET,met_An_precip,met_An_maxT,met_An_minT,met_An_meanT,met_An_snow,met_An_sun,met_An_solra,sol12_Helvic Acrisols,sol12_Helvic Acrisols_Ratio,sol12_Dystric Rhegosols,sol12_Dystric Rhegosols_Ratio,sol12_Haplic Andosols,sol12_Haplic Andosols_Ratio,sol12_Fluvic Gleysols,sol12_Fluvic Gleysols_Ratio,sol12_Gleysols,sol12_Gleysols_Ratio,sol12_Humic Cambisols,sol12_Humic Cambisols_Ratio,sol12_Lithosols,sol12_Lithosols_Ratio,sol12_Rhodic Acrisols,sol12_Rhodic Acrisols_Ratio,sol12_Ochric Cambisols,sol12_Ochric Cambisols_Ratio,sol12_Humo-Ferric(Gleyic) Podzols,sol12_Humo-Ferric(Gleyic) Podzols_Ratio,sol12_Gleyic Andosols,sol12_Gleyic Andosols_Ratio,sol12_Humo-Ferric Podzols,sol12_Humo-Ferric Podzols_Ratio,sol12_Vitric Andosols,sol12_Vitric Andosols_Ratio,sol12_(Andic) Rhegosols,sol12_(Andic) Rhegosols_Ratio,sol12_(Entic) Andosols,sol12_(Entic) Andosols_Ratio,sol12_Histosols,sol12_Histosols_Ratio,sol12_Fluvisols,sol12_Fluvisols_Ratio,sol22_Rhegosols,sol22_Rhegosols_Ratio,sol22_Acrisols and Luvisols,sol22_Acrisols and Luvisols_Ratio,sol22_Andosols,sol22_Andosols_Ratio,sol22_Ochric Gleysols,sol22_Ochric Gleysols_Ratio,sol22_Lithosols,sol22_Lithosols_Ratio,sol22_Fluvisols,sol22_Fluvisols_Ratio,sol22_Podozols,sol22_Podozols_Ratio,sol22_Cambisols,sol22_Cambisols_Ratio,sol22_Fluvic gleysols,sol22_Fluvic gleysols_Ratio,sol22_Dystric Histosols,sol22_Dystric Histosols_Ratio,geo1_P,geo1_P_Ratio,geo1_An,geo1_An_Ratio,geo1_M,geo1_M_Ratio,geo1_Gn,geo1_Gn_Ratio,geo1_Gr,geo1_Gr_Ratio,geo1_tr,geo1_tr_Ratio,geo1_lm,geo1_lm_Ratio,geo1_al,geo1_al_Ratio,geo1_Bs,geo1_Bs_Ratio,geo1_wf,geo1_wf_Ratio,geo1_Sch,geo1_Sch_Ratio,geo1_Tn,geo1_Tn_Ratio,geo1_Gd,geo1_Gd_Ratio,geo1_Lp,geo1_Lp_Ratio,geo1_Tp,geo1_Tp_Ratio,geo1_Sp,geo1_Sp_Ratio,geo1_Pls,geo1_Pls_Ratio,geo1_ds,geo1_ds_Ratio,geo3_Henseigan,geo3_Henseigan_ratio,geo3_Taisekigan,geo3_Taisekigan_ratio,geo3_Kaseigan,geo3_Kaseigan_ratio,landP_Lowland,landP_Lowland_Ratio,landP_Volcanic,landP_Volcanic_Ratio,landP_Mountain,landP_Mountain_Ratio,landP_Plateau,landP_Plateau_Ratio,landP_Hills,landP_Hills_Ratio,landP_Water,landP_Water_Ratio,landS_Volcanic_GentleSlope,landS_Volcanic_GentleSlope_Ratio,landS_Lowland,landS_Lowland_Ratio,landS_Volcanic_SteepSlope,landS_Volcanic_SteepSlope_Ratio,landS_AlluvialFanAndValleyPlains,landS_AlluvialFanAndValleyPlains_Ratio,landS_GravelPlateauAndRockPlateau,landS_GravelPlateauAndRockPlateau_Ratio,landS_DeltasAndTidalFlatsAndWetValleyPlains,landS_DeltasAndTidalFlatsAndWetValleyPlains_Ratio,landS_LavaPlateau,landS_LavaPlateau_Ratio,landS_VolcanicLaharTerrain,landS_VolcanicLaharTerrain_Ratio,landS_MountainSteepSlope,landS_MountainSteepSlope_Ratio,landS_SteepAlluvialFan,landS_SteepAlluvialFan_Ratio,landS_HillsSteepAndGentle,landS_HillsSteepAndGentle_Ratio,landS_Peatland,landS_Peatland_Ratio,landS_VolcanicAshSandPlateau,landS_VolcanicAshSandPlateau_Ratio,landS_MountainGentleSlope,landS_MountainGentleSlope_Ratio,landS_DuneBeachSandbars,landS_DuneBeachSandbars_Ratio,landS_Water,landS_Water_Ratio,landS_LimestonePlateau,landS_LimestonePlateau_Ratio,land_RiceField,land_RiceField_Ratio,land_OtherFarmland,land_OtherFarmland_Ratio,land_Forest,land_Forest_Ratio,land_Wasteland,land_Wasteland_Ratio,land_Urban,land_Urban_Ratio,land_Road,land_Road_Ratio,land_Railroad,land_Railroad_Ratio,land_Other,land_Other_Ratio,land_RiverLakes,land_RiverLakes_Ratio,land_Beach,land_Beach_Ratio,land_Ocean,land_Ocean_Ratio,land_GolfCourse,land_GolfCourse_Ratio
1,Hokkaido,Hokkaido,2587080,TESHIO GAWA,MARUYAMA,4685,44.92,141.89,44.9229,141.8938,0.4,311.9342535,7.204888461,7.79835634,5.31,3654.820065,0.780111006,0.001133404,0.44443372,3.404716105,4.865626775,1.513170653,21.56204208,11.27034756,2.610958797,0.033649696,-1.52611551,0.424907129,1.100729824,5.766890766,1.103822398,12006.31325,93.41027099,-9.97877582,43.55372371,142.3808982,14517.69471,115.2035247,0,0,0,0,0,0,64.843,0.013840555,927.713,0.198017716,3313.404,0.707236713,31.227,0.006665315,0,0,234.448,0.050042263,10.087,0.002153042,0.082,1.75E-05,10.783,0.002301601,0,0,3.252,0.00069413,0,0,68.036,0.014522092,0,0,3.252,0.00069413,0,0,0.082,1.75E-05,927.713,0.198017716,31.227,0.006665315,0,0,20.869,0.004454429,3547.852,0.757278975,64.843,0.013840555,68.036,0.014522092,657.061,0.140247812,909.037,0.194031377,559.847,0.119497759,0,0,44.254,0.009445891,50.727,0.010827535,0,0,716.299,0.152891996,0,0,0,0,0,0,1532.703,0.327151121,0,0,8.696,0.001856137,0,0,184.21,0.039319104,0,0,0,0,0,0,3516.638,0.750616435,1146.197,0.244652508,824.558,0.175999573,0,0,3066.116,0.654453789,249.887,0.053337673,525.278,0.112119104,0.822,0.000175454,0,0,0,0,0,0,558.928,0.119301601,249.887,0.053337673,179.136,0.038236073,0,0,0,0,2843.438,0.606923799,0,0,525.278,0.112119104,86.494,0.0184619,0,0,222.678,0.047529989,0,0,0.822,0.000175454,0,0,160.393187,0.034235472,581.802145,0.124184022,3487.129271,0.744317881,531.546601,0.113457119,34.949533,0.007459879,14.286001,0.003049307,52.262611,0.011155307,83.406212,0.01780282,0.009251,1.97E-06,0,0,1.608238,0.000343274,0,0
2,Hokkaido,Hokkaido,2587081,TESHIO GAWA,PONPIRA,4029,44.8,142.08,44.7979,142.0687,0.9,341.3640583,7.543490901,3.79293398,5.31,3198.264152,0.793810909,0.001317945,0.431964,3.448419861,4.775684735,1.489593232,22.04031736,11.21814374,2.603401277,0.030474453,-1.705380606,0.402829733,1.05725948,5.655355059,1.065990412,12042.72159,92.7381993,-10.875,42.63723776,143.4556381,14529.83282,115.5598776,0,0,0,0,0,0,64.843,0.016094068,780.452,0.193708613,2913.074,0.723026557,31.227,0.007750558,0,0,207.547,0.051513279,0.957,0.000237528,0,0,10.783,0.002676346,0,0,3.252,0.000807148,0,0,46.719,0.011595681,0,0,3.252,0.000807148,0,0,0,0,780.452,0.193708613,31.227,0.007750558,0,0,11.74,0.002913874,3120.621,0.774539836,64.843,0.016094068,46.719,0.011595681,632.285,0.156933482,909.037,0.22562348,513.148,0.127363614,0,0,44.254,0.010983867,50.727,0.012590469,0,0,612.56,0.152037726,0,0,0,0,0,0,1201.478,0.298207496,0,0,8.696,0.002158352,0,0,85.822,0.021301067,0,0,0,0,0,0,3010.199,0.747133035,1047.808,0.260066518,685.394,0.170115165,0,0,2889.378,0.717145197,216.874,0.053828245,268.462,0.066632415,0.822,0.000204021,0,0,0,0,0,0,535.473,0.132904691,216.874,0.053828245,96.489,0.023948622,0,0,0,0,2693.81,0.668605113,0,0,268.462,0.066632415,53.431,0.013261603,0,0,195.568,0.048540084,0,0,0.822,0.000204021,0,0,160.384045,0.039807408,470.20102,0.11670415,3090.081975,0.766960034,408.846404,0.101475901,32.215995,0.007996028,10.092046,0.002504851,51.165433,0.012699288,66.135452,0.016414855,0.009251,2.30E-06,0,0,1.608238,0.000399166,0,0
3,Hokkaido,Hokkaido,2587082,TESHIO GAWA,BIFUKA-BASHI,2899,44.48,142.34,44.4813,142.3354,0.4,363.4676352,7.326874479,9.08669088,5.31,2181.839983,0.752618138,0.001831666,0.44341327,3.281813934,4.800167753,1.455199832,21.84813616,11.2919434,2.582487999,0.024239683,-1.763962727,0.369316221,0.922875621,5.632505226,1.009671689,11571.84353,93.10989346,-10.68584475,42.89406393,127.0584475,14793.26027,116.5722983,0,0,0,0,0,0,42.617,0.014700586,613.817,0.211734046,2038.947,0.703327699,19.984,0.006893412,0,0,141.259,0.048726802,0,0,0,0,5.045,0.001740255,0,0,3.252,0.001121766,0,0,46.509,0.016043118,0,0,3.252,0.001121766,0,0,0,0,613.817,0.211734046,19.984,0.006893412,0,0,5.045,0.001740255,2180.206,0.752054502,42.617,0.014700586,46.509,0.016043118,605.729,0.208944119,723.494,0.249566747,0.995,0.000343222,0,0,44.254,0.015265264,21.111,0.007282166,0,0,565.541,0.195081407,0,0,0,0,0,0,899.027,0.310116247,0,0,8.696,0.002999655,0,0,41.736,0.014396689,0,0,0,0,0,0,2092.402,0.721766816,818.18,0.282228355,563.548,0.194393929,0,0,1930.981,0.666085202,173.944,0.06000138,244.211,0.084239738,0.822,0.000283546,0,0,0,0,0,0,453.648,0.156484305,173.944,0.06000138,56.469,0.019478786,0,0,0,0,1772.981,0.61158365,0,0,244.211,0.084239738,53.431,0.018430838,0,0,158,0.054501552,0,0,0.822,0.000283546,0,0,157.743857,0.054413197,393.048889,0.135580852,2166.482876,0.747320758,233.986972,0.080712995,29.295206,0.01010528,7.666615,0.002644572,47.088813,0.016243123,48.014109,0.0165623,0.009251,3.19E-06,0,0,1.608238,0.000554756,0,0
4,Hokkaido,Hokkaido,2587083,TESHIO GAWA,NAYORO-OHASHI,1719.2,44.38,142.41,44.3688,142.4437,3,346.3095564,6.787907353,1.15436519,5.31,1218.211424,0.708592034,0.003088646,0.42842769,3.378123031,5.016315346,1.44728145,22.30104127,11.45614244,2.567810059,0.023074193,-1.579769647,0.370198031,0.903750168,5.818601275,0.994398846,11651.21659,96.2414307,-6.310481868,46.26179831,123.4456036,14886.18082,116.8877298,0,0,0,0,0,0,42.617,0.024788855,435.964,0.253585389,1155.334,0.672018381,5.992,0.003485342,0,0,81.667,0.047502908,0,0,0,0,2.777,0.001615286,0,0,3.252,0.001891577,0,0,38.623,0.022465682,0,0,3.252,0.001891577,0,0,0,0,435.964,0.253585389,5.992,0.003485342,0,0,2.777,0.001615286,1237.002,0.719521871,42.617,0.024788855,38.623,0.022465682,364.563,0.212053862,273.031,0.15881282,0.995,0.000578758,0,0,43.886,0.025526989,2.383,0.00138611,0,0,445.974,0.259407864,0,0,0,0,0,0,584.117,0.339760935,0,0,8.696,0.005058167,0,0,41.736,0.024276408,0,0,0,0,0,0,1398.032,0.813187529,367.349,0.213674383,429.878,0.25004537,0,0,1032.602,0.600629362,93.085,0.054144369,211.915,0.123263727,0.822,0.000478129,0,0,0,0,0,0,320.32,0.186319218,93.085,0.054144369,56.469,0.032846091,0,0,0,0,957.385,0.556878199,0,0,211.915,0.123263727,53.089,0.03088006,0,0,75.217,0.043751163,0,0,0.822,0.000478129,0,0,150.061731,0.08728579,274.74061,0.159807242,1227.709643,0.714116824,151.405464,0.088067394,23.466622,0.013649734,5.325168,0.003097469,33.41706,0.019437564,35.668841,0.020747348,0.009251,5.38E-06,0,0,0.906825,0.000527469,0,0
5,Hokkaido,Hokkaido,2587100,ISHIKARI-GAWA,ISHIKARI-OHASHI,12697,43.1197,141.5456,43.1229,141.5437,0.4,393.3559326,7.739837917,9.83389831,127.369,8592.142291,0.676706489,0.010031425,0.40797236,3.632984154,5.321276645,1.482157136,24.41141418,11.28009679,2.509552967,0.041437647,-0.436743627,0.433972576,1.202719774,6.11224031,1.057034208,12750.95041,96.97028856,-0.347915924,49.05101532,117.2302102,15179.66299,118.0809405,0,0,0,0,736.263,0.057987162,582.518,0.045878396,2114.359,0.166524297,7167.099,0.564471844,119.733,0.009430023,0,0,399.029,0.03142703,18.471,0.001454753,0.79,6.22E-05,400.053,0.031507679,0,0,627.854,0.049449004,0,0,489.377,0.038542727,0,0,627.854,0.049449004,0,0,737.053,0.058049382,2114.359,0.166524297,119.733,0.009430023,0,0,418.524,0.032962432,7566.128,0.595898874,582.518,0.045878396,489.377,0.038542727,1230.496,0.096912341,1700.407,0.13392195,1314.265,0.103509884,9.517,0.000749547,11.054,0.000870599,270.614,0.021313224,563.956,0.044416476,2481.914,0.195472474,0,0,1321.534,0.104082382,451.558,0.035564149,2491.614,0.196236434,0,0,0,0,423.245,0.033334252,447.786,0.035267071,0,0,0,0,461.075,0.036313696,10097.637,0.795277388,2159.247,0.17005962,2274.005,0.179097818,2414.924,0.190196424,5304.368,0.417765456,1737.671,0.136856817,978.836,0.077091911,103.962,0.008187918,407.29,0.032077656,633.246,0.049873671,2007.633,0.158118689,1228.947,0.096790344,739.667,0.058255257,711.092,0.056004726,0,0,0,0,4292.327,0.33805836,0,0,978.836,0.077091911,331.623,0.026118217,364.759,0.028727967,1012.041,0.079707096,2.343,0.000184532,103.962,0.008187918,0,0,1536.646858,0.121024404,1245.593904,0.098101434,8557.261852,0.673959349,907.377961,0.071463965,300.822124,0.023692378,41.781405,0.003290652,279.27538,0.021995383,363.847175,0.028656153,0.009353,7.37E-07,0,0,66.703765,0.005253506,0,0
6,Hokkaido,Hokkaido,2587101,ISHIKARI-GAWA,TSUKIGATA,9306,43.33,141.6933,43.3312,141.6937,0.1,454.0733378,7.999611132,45.4073338,40.044,6692.162666,0.719123433,0.00430303,0.39954591,3.658979724,4.932432772,1.461930366,23.40448336,11.05725953,2.5196452,0.043512149,-1.08379826,0.413438053,1.213869053,5.697413946,1.005856562,12769.79955,92.76922329,-5.526198114,44.73831049,120.7923593,14920.22961,117.9881404,0,0,0,0,410.095,0.044067806,451.091,0.048473136,1483.714,0.159436278,5666.086,0.608863744,74.137,0.007966581,0,0,352.026,0.037827853,18.471,0.001984848,0.79,8.49E-05,385.928,0.041470879,0,0,253.455,0.027235654,0,0,118.545,0.012738556,0,0,253.455,0.027235654,0,0,410.884,0.04415259,1483.714,0.159436278,74.137,0.007966581,0,0,404.398,0.04345562,6018.112,0.646691597,451.091,0.048473136,118.545,0.012738556,1146.924,0.123245648,1621.236,0.174214055,780.749,0.083897378,9.517,0.001022674,11.054,0.001187836,234.837,0.02523501,0,0,1405.635,0.151046099,0,0,1305.716,0.140309048,451.558,0.048523318,1829.46,0.196589297,0,0,0,0,90.951,0.009773372,380.001,0.040833978,0,0,0,0,461.075,0.049545992,6794.272,0.730095852,2012.292,0.216235977,1229.176,0.132084247,2244.339,0.24117118,3930.96,0.422411348,979.554,0.105260477,883.111,0.094896948,20.545,0.002207715,388.136,0.041708145,557.398,0.059896626,1856.203,0.199463035,924.214,0.099313776,422.157,0.045363959,249.912,0.026854932,0,0,0,0,2965.95,0.318713733,0,0,883.111,0.094896948,52.707,0.005663765,0,0,965.01,0.103697614,2.343,0.000251773,20.545,0.002207715,0,0,1021.84401,0.109804858,729.581579,0.078399052,6596.493106,0.708843016,766.204454,0.082334457,181.286208,0.019480573,23.421768,0.002516846,154.013316,0.016549894,202.557397,0.021766322,0.009353,1.01E-06,0,0,24.523512,0.002635237,0,0
7,Hokkaido,Hokkaido,2587102,ISHIKARI-GAWA,HASHIMOTOCHO,5711,43.5544,141.8872,43.5562,141.8896,0.3,467.2317383,7.696975189,15.5743913,29.366,4305.844696,0.753956347,0.005142007,0.39700377,3.724180972,4.780206471,1.478513871,23.27542758,10.94392141,2.547992336,0.046897909,-1.294231971,0.426470857,1.272750161,5.478311378,1.026665987,13046.89761,90.26146313,-8.211158926,42.42736311,132.6170055,14776.6636,117.7002523,0,0,0,0,234.596,0.04107792,299.901,0.05251287,966.176,0.169178077,3542.871,0.620359132,45.422,0.007953423,0,0,280.676,0.049146559,15.112,0.002646122,0,0,326.42,0.057156365,0,0,185.524,0.032485379,0,0,59.804,0.010471721,0,0,185.524,0.032485379,0,0,234.596,0.04107792,966.176,0.169178077,45.422,0.007953423,0,0,341.532,0.059802486,3823.547,0.669505691,299.901,0.05251287,59.804,0.010471721,632.815,0.110806339,1355.93,0.237424269,230.793,0.040412012,0,0,0.99,0.00017335,147.051,0.025748731,0,0,940.795,0.164733847,0,0,727.417,0.127371213,386.394,0.067657853,1242.607,0.217581334,0,0,0,0,90.951,0.015925582,224.6,0.039327613,0,0,0,0,386.394,0.067657853,4012.429,0.702579058,1581.52,0.276925232,807.536,0.141400105,1529.114,0.267748906,2370.005,0.414989494,651.333,0.114048853,640.431,0.112139905,1.971,0.000345123,236.948,0.041489757,403.041,0.070572754,1292.166,0.226259149,647.445,0.113368062,248.292,0.043476099,141.443,0.024766766,0,0,0,0,1721.567,0.301447557,0,0,640.431,0.112139905,18.648,0.003265278,0,0,648.438,0.113541937,0,0,1.971,0.000345123,0,0,745.380114,0.130516567,438.331115,0.076752078,4197.172831,0.734927829,612.322418,0.107218074,127.624028,0.022347054,16.143324,0.002826707,70.186457,0.012289697,133.481506,0.023372703,0,0,0,0,15.727246,0.002753852,0,0
8,Hokkaido,Hokkaido,2587103,ISHIKARI-GAWA,OSAMUNAI,3558,43.7156,142.1367,43.7188,142.1354,0.4,597.8951177,8.407607396,14.9473779,2.423,2584.891861,0.726501366,0.000681001,0.40619155,3.478620946,4.192122986,1.412986418,23.21558605,10.59911645,2.512544931,0.030267073,-2.078131448,0.38048939,1.002804136,4.93899845,0.947871406,11998.18605,84.13997986,-12.63418933,37.45140987,99.47834844,14837.70569,119.0025176,0,0,0,0,234.596,0.065934795,25.685,0.007218943,401.2,0.112759978,2158.471,0.606652895,7.537,0.002118325,0,0,185.502,0.052136594,15.112,0.00424733,0,0,324.697,0.091258291,0,0,180.889,0.050840079,0,0,13.369,0.003757448,0,0,180.889,0.050840079,0,0,234.596,0.065934795,401.2,0.112759978,7.537,0.002118325,0,0,339.809,0.095505621,2343.973,0.658789488,25.685,0.007218943,13.369,0.003757448,564.966,0.158787521,1096.488,0.308175379,5.107,0.001435357,0,0,0.99,0.000278246,48.853,0.013730467,0,0,490.529,0.137866498,0,0,727.417,0.204445475,305.677,0.085912591,237.468,0.06674199,0,0,0,0,0,0,71.469,0.020086847,0,0,0,0,305.677,0.085912591,2074.34,0.583007307,1168.948,0.328540753,326.791,0.091846824,1437.63,0.404055649,1074.794,0.302078134,397.053,0.111594435,312.684,0.087881956,0,0,169.614,0.047671164,323.227,0.090845138,1268.016,0.356384486,323.945,0.091046936,73.826,0.020749297,1.754,0.000492974,0,0,0,0,553.848,0.155662732,0,0,312.684,0.087881956,1.093,0.000307195,0,0,520.946,0.146415402,0,0,0,0,0,0,391.741048,0.110101475,282.53825,0.079409289,2483.986327,0.698141182,365.980686,0.102861351,98.288877,0.027624755,9.411869,0.00264527,52.211687,0.014674448,56.000908,0.015739435,0,0,0,0,10.288827,0.002891745,0,0
9,Hokkaido,Hokkaido,2587104,ISHIKARI-GAWA,INO,3378.6,43.77,142.27,43.7687,142.2771,0.6,619.1353331,8.49370637,10.3189222,2.423,2415.132009,0.714832182,0.000717161,0.40326262,3.486249001,4.088668445,1.405873908,23.30708665,10.51672456,2.506592441,0.02972413,-2.197157212,0.377204315,0.999299486,4.810669372,0.940392971,12018.34042,82.82723358,-13.7131324,36.33019376,98.59607104,14797.50619,119.0923036,0,0,0,0,234.596,0.069435861,0,0,362.554,0.107308945,2017.467,0.59713106,7.537,0.002230806,0,0,174.028,0.051508909,5.235,0.001549458,0,0,324.697,0.096104008,0,0,180.889,0.053539632,0,0,13.369,0.003956964,0,0,180.889,0.053539632,0,0,234.596,0.069435861,362.554,0.107308945,7.537,0.002230806,0,0,329.932,0.097653466,2191.496,0.648640265,0,0,13.369,0.003956964,564.966,0.167218966,1083.644,0.320737584,2.469,0.000730776,0,0,0.99,0.000293021,35.161,0.010406973,0,0,475.035,0.140601137,0,0,716.379,0.212034275,197.552,0.058471556,204.064,0.060398982,0,0,0,0,0,0,42.021,0.0124374,0,0,0,0,197.552,0.058471556,1998.073,0.591390813,1126.655,0.333468004,322.271,0.095385959,1327.807,0.393005091,1003.048,0.296882732,371.874,0.110067484,297.27,0.087986148,0,0,165.102,0.048866986,298.048,0.088216421,1162.705,0.344138105,319.424,0.094543302,73.826,0.021851063,1.754,0.00051915,0,0,0,0,508.576,0.150528621,0,0,297.27,0.087986148,1.093,0.000323507,0,0,494.472,0.146354111,0,0,0,0,0,0,365.30132,0.108122098,265.667306,0.078632364,2311.922124,0.68428406,354.987132,0.105069299,96.779001,0.028644705,8.591924,0.002543043,47.70871,0.014120852,52.413205,0.015513291,0,0,0,0,9.394602,0.00278062,0,0
10,Hokkaido,Hokkaido,2587105,SORACHI-GAWA,AKABIRA,2531,43.56,142.05,43.5604,142.0521,0.2,505.3548522,8.966257192,25.2677426,10.59,1994.90588,0.788188811,0.004184117,0.41157245,3.424778062,4.830385578,1.409544311,25.30150962,11.05201829,2.48641547,0.018237445,-1.259665908,0.367655834,0.890620427,5.62919462,0.954065635,12031.47394,93.48793284,-5.272822665,44.93599161,91.37040923,15063.68625,118.7901364,0,0,0,0,175.499,0.069339787,28.424,0.011230344,307.177,0.121365863,1782.32,0.70419597,27.888,0.01101857,0,0,65.651,0.025938759,3.359,0.001327143,0,0,57.9,0.022876333,0,0,65.825,0.026007507,0,0,30.055,0.011874753,0,0,65.825,0.026007507,0,0,175.499,0.069339787,307.177,0.121365863,27.888,0.01101857,0,0,61.259,0.024203477,1847.972,0.730135124,28.424,0.011230344,30.055,0.011874753,477.322,0.188590281,248.661,0.098246148,510.705,0.201779929,9.517,0.003760174,10.064,0.003976294,39.435,0.015580798,0,0,179.271,0.070830107,0,0,578.299,0.228486369,65.164,0.025746345,275.641,0.108905966,0,0,0,0,0,0,155.402,0.061399447,0,0,0,0,74.681,0.029506519,2060.674,0.814173844,414.126,0.163621493,202.988,0.080200711,693.903,0.274161596,1208.497,0.477478072,201.413,0.079578427,242.679,0.095882655,0,0,140.642,0.05556776,142.684,0.056374556,553.261,0.218593836,155.677,0.0615081,58.729,0.023203872,31.215,0.01233307,0,0,0,0,901.54,0.356199131,0,0,242.679,0.095882655,16.096,0.006359542,0,0,306.957,0.121278941,0,0,0,0,0,0,125.8914,0.049739787,252.587448,0.09979749,2089.596578,0.825601177,120.919191,0.047775263,25.251796,0.009977004,2.372653,0.000937437,65.038197,0.02569664,31.602974,0.012486359,0,0,0,0,4.396418,0.001737028,0,0
